赤穂城,4786,4786,5000,赤穂城,名詞,固有名詞,一般,*,*,*,アコウジョウ,赤穂城,*,C,*,*,*
長篠城,4786,4786,5000,長篠城,名詞,固有名詞,一般,*,*,*,チョウシノジョウ,長篠城,*,C,*,*,*
高松城,4786,4786,5000,高松城,名詞,固有名詞,一般,*,*,*,タカマツジョウ,高松城,*,C,*,*,*
鹿児島城,4786,4786,5000,鹿児島城,名詞,固有名詞,一般,*,*,*,シカジシマジョウ,鹿児島城,*,C,*,*,*
七尾城,4786,4786,5000,七尾城,名詞,固有名詞,一般,*,*,*,ナナオジョウ,七尾城,*,C,*,*,*
上田城,4786,4786,5000,上田城,名詞,固有名詞,一般,*,*,*,ウエダジョウ,上田城,*,C,*,*,*
上野城,4786,4786,5000,上野城,名詞,固有名詞,一般,*,*,*,ウエノジョウ,上野城,*,C,*,*,*
中城城,4786,4786,5000,中城城,名詞,固有名詞,一般,*,*,*,ナカジョウジョウ,中城城,*,C,*,*,*
佐賀城,4786,4786,5000,佐賀城,名詞,固有名詞,一般,*,*,*,サガジョウ,佐賀城,*,C,*,*,*
吉田郡山城,4786,4786,5000,吉田郡山城,名詞,固有名詞,一般,*,*,*,ヨシダコウリヤマジョウ,吉田郡山城,*,C,*,*,*
名護屋城,4786,4786,5000,名護屋城,名詞,固有名詞,一般,*,*,*,ナゴヤジョウ,名護屋城,*,C,*,*,*
和歌山城,4786,4786,5000,和歌山城,名詞,固有名詞,一般,*,*,*,ワカヤマジョウ,和歌山城,*,C,*,*,*
岡崎城,4786,4786,5000,岡崎城,名詞,固有名詞,一般,*,*,*,オカザキジョウ,岡崎城,*,C,*,*,*
府内城,4786,4786,5000,府内城,名詞,固有名詞,一般,*,*,*,フナイジョウ,府内城,*,C,*,*,*
徳島城,4786,4786,5000,徳島城,名詞,固有名詞,一般,*,*,*,トクシマジョウ,徳島城,*,C,*,*,*
松代城,4786,4786,5000,松代城,名詞,固有名詞,一般,*,*,*,マツジョウジョウ,松代城,*,C,*,*,*
松江城,4786,4786,5000,松江城,名詞,固有名詞,一般,*,*,*,マツエジョウ,松江城,*,C,*,*,*
水戸城,4786,4786,5000,水戸城,名詞,固有名詞,一般,*,*,*,ミトジョウ,水戸城,*,C,*,*,*
江戸城,4786,4786,5000,江戸城,名詞,固有名詞,一般,*,*,*,エドジョウ,江戸城,*,C,*,*,*
福岡城,4786,4786,5000,福岡城,名詞,固有名詞,一般,*,*,*,フクオカジョウ,福岡城,*,C,*,*,*
竹田城,4786,4786,5000,竹田城,名詞,固有名詞,一般,*,*,*,タケダジョウ,竹田城,*,C,*,*,*
観音寺城,4786,4786,5000,観音寺城,名詞,固有名詞,一般,*,*,*,カンオンジジョウ,観音寺城,*,C,*,*,*
躑躅ヶ崎館,4786,4786,5000,躑躅ヶ崎館,名詞,固有名詞,一般,*,*,*,テキチョクガサキカン,躑躅ヶ崎館,*,C,*,*,*
鉢形城,4786,4786,5000,鉢形城,名詞,固有名詞,一般,*,*,*,ハチガタジョウ,鉢形城,*,C,*,*,*
高取城,4786,4786,5000,高取城,名詞,固有名詞,一般,*,*,*,タカトリジョウ,高取城,*,C,*,*,*
鳥取城,4786,4786,5000,鳥取城,名詞,固有名詞,一般,*,*,*,トットリジョウ,鳥取城,*,C,*,*,*
二本松城,4786,4786,5000,二本松城,名詞,固有名詞,一般,*,*,*,ニホンマツジョウ,二本松城,*,C,281483/368637,*,*
人吉城,4786,4786,5000,人吉城,名詞,固有名詞,一般,*,*,*,ヒトヨシジョウ,人吉城,*,C,*,*,*
佐倉城,4786,4786,5000,佐倉城,名詞,固有名詞,一般,*,*,*,サクラジョウ,佐倉城,*,C,*,*,*
千早城,4786,4786,5000,千早城,名詞,固有名詞,一般,*,*,*,センソウジョウ,千早城,*,C,*,*,*
大洲城,4786,4786,5000,大洲城,名詞,固有名詞,一般,*,*,*,オオズジョウ,大洲城,*,C,*,*,*
岩国城,4786,4786,5000,岩国城,名詞,固有名詞,一般,*,*,*,イワクニジョウ,岩国城,*,C,*,*,*
岩村城,4786,4786,5000,岩村城,名詞,固有名詞,一般,*,*,*,イワムラジョウ,岩村城,*,C,*,*,*
平戸城,4786,4786,5000,平戸城,名詞,固有名詞,一般,*,*,*,ヒラドジョウ,平戸城,*,C,*,*,*
新田金山城,4786,4786,5000,新田金山城,名詞,固有名詞,一般,*,*,*,ニッタカナヤマジョウ,新田金山城,*,C,*,*,*
月山富田城,4786,4786,5000,月山富田城,名詞,固有名詞,一般,*,*,*,ガッサントミタジョウ,月山富田城,*,C,*,*,*
松坂城,4786,4786,5000,松坂城,名詞,固有名詞,一般,*,*,*,マツサカジョウ,松坂城,*,C,*,*,*
根城,4786,4786,5000,根城,名詞,固有名詞,一般,*,*,*,ネジロ,根城,*,C,*,*,*
津和野城,4786,4786,5000,津和野城,名詞,固有名詞,一般,*,*,*,ツワノジョウ,津和野城,*,C,*,*,*
白河小峰城,4786,4786,5000,白河小峰城,名詞,固有名詞,一般,*,*,*,シラカワコミネジョウ,白河小峰城,*,C,584799/394859/368637,*,*
箕輪城,4786,4786,5000,箕輪城,名詞,固有名詞,一般,*,*,*,ミノワジョウ,箕輪城,*,C,*,*,*
高岡城,4786,4786,5000,高岡城,名詞,固有名詞,一般,*,*,*,タカオカジョウ,高岡城,*,C,*,*,*
久保田城,4786,4786,5000,久保田城,名詞,固有名詞,一般,*,*,*,クボタジョウ,久保田城,*,C,*,*,*
小田原城,4786,4786,5000,小田原城,名詞,固有名詞,一般,*,*,*,オダワラジョウ,小田原城,*,C,*,*,*
松前城,4786,4786,5000,松前城,名詞,固有名詞,一般,*,*,*,マツマエジョウ,松前城,*,C,*,*,*
盛岡城,4786,4786,5000,盛岡城,名詞,固有名詞,一般,*,*,*,モリオカジョウ,盛岡城,*,C,*,*,*
弘前城,4786,4786,5000,弘前城,名詞,固有名詞,一般,*,*,*,ヒロサキジョウ,弘前城,*,C,*,*,*
龍岡城,4786,4786,5000,龍岡城,名詞,固有名詞,一般,*,*,*,タツオカジョウ,龍岡城,*,C,*,*,*
柳野城,4786,4786,5000,柳野城,名詞,固有名詞,一般,*,*,*,ヤナギノジョウ,柳野城,*,C,*,*,*
青葉城,4786,4786,5000,青葉城,名詞,固有名詞,一般,*,*,*,アオバジョウ,青葉城,*,C,*,*,*
金鯱城,4786,4786,5000,金鯱城,名詞,固有名詞,一般,*,*,*,キンシャチジョウ,金鯱城,*,C,*,*,*
金城,4786,4786,5000,金城,名詞,固有名詞,一般,*,*,*,キンジョウ,金城,*,C,*,*,*
大阪城,4786,4786,5000,大阪城,名詞,固有名詞,一般,*,*,*,オオサカジョウ,大阪城,*,C,*,*,*
錦城,4786,4786,5000,錦城,名詞,固有名詞,一般,*,*,*,ニシキジョウ,錦城,*,C,*,*,*
稲葉山城,4786,4786,5000,稲葉山城,名詞,固有名詞,一般,*,*,*,イナバヤマジョウ,稲葉山城,*,C,*,*,*
金亀城,4786,4786,5000,金亀城,名詞,固有名詞,一般,*,*,*,キンカメジョウ,金亀城,*,C,*,*,*
勝山城,4786,4786,5000,勝山城,名詞,固有名詞,一般,*,*,*,カツヤマジョウ,勝山城,*,C,*,*,*
伊予松山城,4786,4786,5000,伊予松山城,名詞,固有名詞,一般,*,*,*,イヨマツヤマジョウ,伊予松山城,*,C,*,*,*
銀杏城,4786,4786,5000,銀杏城,名詞,固有名詞,一般,*,*,*,イチョウジョウ,銀杏城,*,C,*,*,*
亀山城,4786,4786,5000,亀山城,名詞,固有名詞,一般,*,*,*,カメヤマジョウ,亀山城,*,C,*,*,*
蓬莱城,4786,4786,5000,蓬莱城,名詞,固有名詞,一般,*,*,*,ヨモギライジョウ,蓬莱城,*,C,*,*,*
霞城,4786,4786,5000,霞城,名詞,固有名詞,一般,*,*,*,カスミジョウ,霞城,*,C,*,*,*
霞ヶ城,4786,4786,5000,霞ヶ城,名詞,固有名詞,一般,*,*,*,カスミガジョウ,霞ヶ城,*,C,*,*,*
吉字城,4786,4786,5000,吉字城,名詞,固有名詞,一般,*,*,*,キチジジョウ,吉字城,*,C,*,*,*
